_uid_,commune,taux_artif_pct,population,variation_pop,m2_par_habitant,menages_par_ha
1,Curbans,4.1,581,43,948.07,7.28
2,Les Mées,3.54,3884,220,5609.66,20.64
3,Manosque,3.33,22926,1172,453.84,51.5
4,Fontienne,2.3,133,4,44385,24.82
5,Gréoux-les-Bains,1.94,2939,311,3729.68,4.62
6,Sainte-Tulle,1.89,3489,40,6087.58,11.99
7,Peyruis,1.62,2804,-45,-5714.62,13.66
8,Volx,1.54,3219,75,2708.19,21.16
9,Montfort,1.37,329,-17,-9090.41,-6.37
10,Sisteron,1.2,7699,486,521.03,38.7
11,Pierrevert,1.18,3941,269,448.03,19.75
12,Melve,1.13,123,13,8927.38,11.99
13,Peipin,0.98,1480,4,5424,15.83
14,Saint-Laurent-du-Verdon,0.97,92,-2,-3928,10.18
15,Esparron-de-Verdon,0.93,386,-28,-9194.5,-0.64
16,Mallemoisson,0.91,984,-60,-395.83,11.81
17,La Brillanne,0.87,1109,-3,-9125,41.06
18,Villeneuve,0.8,4355,261,363.02,23.66
19,Mison,0.8,1111,5,21570.6,9.24
20,Valensole,0.78,3155,-14,-64402.86,9.13
21,Mallefougasse-Augès,0.7,324,-2,-56597.5,32.3
22,Peyroules,0.69,248,19,257.53,26.57
23,Forcalquier,0.68,5118,137,833.94,10.63
24,Revest-Saint-Martin,0.66,85,16,276.56,11.3
25,Dauphin,0.65,838,15,636.73,26.37
26,Puimichel,0.56,262,44,144.59,25.15
27,Oraison,0.54,5981,127,633.37,27.61
28,Saint-Michel-l'Observatoire,0.53,1226,-14,-3364.21,11.74
29,Barcelonnette,0.53,2539,-83,-519.87,-2.04
30,Corbières-en-Provence,0.5,1254,93,412.85,11.81
31,Malijai,0.48,2002,15,2623.07,17.3
32,Mane,0.47,1369,2,31959.5,5.83
33,Céreste-en-Luberon,0.46,1194,0,,12.97
34,Château-Arnoux-Saint-Auban,0.44,5082,-102,-599.36,67.81
35,Salignac,0.41,679,46,520,5.43
36,Saumane,0.4,119,8,476,18.38
37,Saint-Maime,0.39,885,50,169.38,27.83
38,Digne-les-Bains,0.38,17192,946,161.08,138.74
39,Champtercier,0.38,821,29,1597.17,1.81
40,Bevons,0.36,255,17,1350,0.87
41,Le Lauzet-Ubaye,0.34,195,-16,-300.63,-46.47
42,Reillanne,0.31,1713,92,837.49,14.76
